ReceiptID,Material,Quantity,PONumber,Supplier,Unit,Status,Remarks,CreatedAt
GRN-2024-001,Solar Panel 400W Mono,100,PO-2024-001,SunTech India Pvt Ltd,EA,VERIFIED,Materials received in good condition.,2024-01-15T10:30:00Z
GRN-2024-002,Inverter 50kVA,20,PO-2024-001,SunTech India Pvt Ltd,EA,VERIFIED,All units tested and working.,2024-01-18T11:00:00Z
GRN-2024-003,Mounting Structure Galvanised,500,PO-2024-002,Steel Masters Ltd,KG,OPEN,Pending site inspection.,2024-01-22T09:00:00Z
GRN-2024-004,DC Cable 6mm2,2000,PO-2024-003,CableCo India,MTR,VERIFIED,Full length verified on site.,2024-02-01T08:30:00Z
GRN-2024-005,AC Distribution Board,10,PO-2024-004,Electro Systems,EA,REJECTED,2 units found damaged on arrival.,2024-02-05T14:00:00Z
GRN-2024-006,Solar Panel 540W Bifacial,150,PO-2024-005,HelioTech Solutions,EA,VERIFIED,Quality check passed.,2024-02-10T10:00:00Z
GRN-2024-007,Earthing Kit,50,PO-2024-005,HelioTech Solutions,SET,OPEN,Awaiting engineer verification.,2024-02-15T09:30:00Z
GRN-2024-008,String Combiner Box,25,PO-2024-006,Power Grid Components,EA,VERIFIED,All MCBs tested.,2024-03-01T11:30:00Z
GRN-2024-009,Inverter 100kVA,5,PO-2024-007,SunTech India Pvt Ltd,EA,PENDING,Pending 3-phase load test.,2024-03-05T10:00:00Z
GRN-2024-010,Monitoring System IoT,15,PO-2024-008,SmartGrid Tech,EA,VERIFIED,Firmware updated and tested.,2024-03-10T12:00:00Z
GRN-2024-011,Lightning Arrestor,30,PO-2024-008,SmartGrid Tech,EA,REJECTED,Wrong specifications supplied.,2024-03-12T09:00:00Z
GRN-2024-012,Battery Storage 100kWh,4,PO-2024-009,EnerStore Ltd,EA,OPEN,Capacity test in progress.,2024-03-20T10:00:00Z
